source,review_title,review_text,rating,review_date_raw
Trustpilot,I was register as a seller of amazon…,I was register as a seller of amazon and set a advertising budget daily 50rupees but it was increase by 300 daily budget and my spend is 5000 and sale is only 4600 rupees only,,2025-11-20T06:49:29.000Z
Trustpilot,Extremely disappointed with both Amazon…,"Extremely disappointed with both Amazon and ICICI Bank. I purchased a phone using my Amazon Pay ICICI Credit Card only because the offer promised 5% cashback in Amazon Pay balance. It has been over two months and I still haven’t received anything.I have contacted customer service several times, but instead of giving a solution, they keep making excuses and pushing the issue around. This constant follow-up without any resolution has caused unnecessary stress and mental harassment.Such misleading offers and poor customer support clearly show how unreliable Amazon and ICICI Bank have become. I strongly warn others not to use the Amazon Pay ICICI Credit Card, because you will not get the benefits they promise.",,2025-11-19T14:31:20.000Z
Trustpilot,"Denied service, replacement despite fault acceptace.","I placed an order for seven laptops from Amazon and receive them on third November 2025. Un inspecting them, I realized that one of the chargers was not working correctly for 1/7 laptops. I immediately reached a request.Usually, I get a replacement option, but in this scenario, the only available option was a service request. An engineer was scheduled to visit on fifth of November. The engineer did not visit on the fifth or sixth. On seventh, I raised another complain that there was no visit. The team assured me that this is a technical glitch and that the engineer will visit soon, but it is not reflecting on their system.Finally, I called up on 17th of Nov. The Executive said that I will call you post 8 PM after talking to the concerned department. She called up at 8:35 PM and informed that there is no resolution yet and she will call tomorrow. No call on 18th at all.Eventually, on 19th I called, got transferred three times and eventually Snigdha informed me that ""You are too late. The service window has closed. You should have called earlier if the engineer did not visit. We can't do anything!""Amazon is pathetic!",,2025-11-19T11:13:15.000Z
Trustpilot,Sometimes good,"Sometimes good , sometimes shit.",,2025-11-18T16:33:52.000Z
Trustpilot,"Victim of ₹70,000 Scam, Then Treated Horribly by Amazon Support.","I am a victim of a sophisticated ₹70,000 ""task scam"" where I was forced to buy Amazon Pay Vouchers. I reported this to Amazon immediately with all proof.This 1-star review is not just for the scam; it is for the shocking, disrespectful, and misleading support I received from Amazon's own team.Amazon's support has been a nightmare:• False Promises: I was repeatedly told I would ""surely"" get my refund. One agent ""assured"" me they would call back with the refund. This was a lie.• Rude & Dismissive Staff: One agent was rude. Another put me on hold for 15 minutes and hung up.• Wasted Time: Today, I was put on a 17-minute hold, only to be abruptly told ""no refund,"" contradicting all previous promises.I have been lied to, had my time wasted, and been treated with zero respect after losing ₹70,000. This is a complete failure of customer service. I am being victimized twice, first by the scammer and now by Amazon's support team.",,2025-11-16T09:37:44.000Z
Trustpilot,I come to India from US every year,"I come to India from US every year.  This year, I made several orders (some prepaid, some pay on delivery).  90% of the orders were cancelled before making a delivery.  I would get an email saying unable to deliver.  No attempts were made to deliver.  I left explicit delivery instructions with mobile #.  They use ""delivery agents"" and blame them for no deliveries.  Attempting to get refund for prepaid was an extremely difficult and required waiting 7-10 business days.  Amazon.in needs to clean up and learn from USA.  Will avoid at all cost.",,2025-11-14T12:36:23.000Z
Trustpilot,I made an order for,"I made an order for TP-Link Deco X10(3-Pack) AX1500Mbps Whole Home Mesh WiFi 6 System, AI-Driven, Coverage up to 5600ft², WiFi Router, Extender Booster, Gaming & 4K, Easy Setup, Alexa & Google Home CompatibleUnfortunately, there was only 2 wifi mesh instead of 3  however I paid for the pack of 3.Last few days, I have  been trying to sort this out with Amzon India customer service by in person call and chat. Sadly, the service was very disappointing. They refused to help me without even saying the reason  for the the refusal. As I went through the reviews of the seller, there has been several other concerns raised by the buyers and it also shoes that this item from  this seller is frequently returned. I have explained all these to the Amazon Indian customer service, but they don't seem to care. I believe that it's my right to raise this concern. I spent money but did not get the same number of items. The investigation says that the item was not damaged and the correct item was received, but as a buyer I have the right to proof that I haven't  received the same number of item as advertised. Basically, I lost my money.",,2025-11-14T08:07:24.000Z
Trustpilot,"Dear Amazon Team,","Dear Amazon Team,I am extremely disappointed and frustrated with your service. This has been one of the worst experiences I’ve ever had with any company. Despite raising multiple complaints and calling your team more than 10 times, my issue is still unresolved. Your investigation team keeps saying “this is the final resolution”, but may I ask — what kind of final resolution is this when you haven’t even provided me with a proper answer or refund?I have called your customer service team on 3 Oct, 13 Oct, 19 Oct, 30 Oct, 6 Nov, 12 Nov, 13 Nov, and even today. Every time I’m promised a solution, but nothing actually happens. My return pickup was never done properly, and yet your team keeps blaming me instead of fixing the issue. This is completely unacceptable.To make matters worse, one of your representatives spoke to me in an extremely unprofessional and rude manner. It’s shocking that a company like Amazon would allow customer service agents who don’t even know how to talk to customers politely.Your investigation team is handling this matter carelessly. When I requested the proof or report of the investigation, your team refused, giving excuses like “security reasons.” This is not transparency — this is hiding your mistakes and trying to put the blame on customers.I am asking again — if your team claims that I denied the pickup, please show me proof of when, where, and to whom I supposedly denied it. I have every right to see the evidence.Because of your negligence, my money is still stuck, my product is uncollected, and my time has been completely wasted. If this issue is not resolved immediately, I will be left with no choice but to escalate this matter to the Consumer Court and share this entire experience publicly.Please process my refund immediately and take strict action against the unprofessional behavior of your customer support and investigation teams.This whole experience has been mentally exhausting, time-wasting, and deeply frustrating. I expect a clear, written response with the proof and an update on my refund status without any further delays.Sincerely,Harshita Order id 406-1639193-4305904",,2025-11-13T18:17:08.000Z
Trustpilot,The Customer service make the false promises.,"I was promised a refund within four hours, yet it has now been over two weeks and I still haven’t received it. The issue was supposedly escalated to a manager, but even then, no refund was processed despite what the original agent assured me on chat.During this time, my chat was transferred between four different agents, none of whom provided any resolution. To make things worse, the TL/manager suddenly closed the chat from their side in the middle of the conversation. After that, I was unable to reconnect with a live agent about the same issue and kept getting pushed to the bot instead. There was no apology, no acknowledgment of the inconvenience, and not even an offer of store credit.I have never seen such an unprofessional customer service team. And saying this in India is a big deal because we already don’t expect very high service standards, but this experience was far worse than anything I’ve encountered.What made the situation even more disappointing is that a US-based agent was able to send me the chat transcript via email without any issue, while the India-based agents treated the situation completely differently. It genuinely felt like customers are handled one way in “first-world” regions and another way elsewhere.They seem fine as long as everything goes smoothly. But the moment you have a problem, the support team keeps transferring the chat instead of helping, and you get stuck with bots instead of actual assistance.I truly hope this review reaches someone who can bring real improvements to their customer service team.Order # 404-9587975-0221130",,2025-11-11T20:30:33.000Z
Trustpilot,Bad customer service,Recieved a wrong model. And the customer service team is ill mannered. Three times they ended my call without giving a proper reply. Very bad service.,,2025-11-11T16:24:31.000Z
